kept,coverage,accuracy,risk,threshold
1,0.006579,1.0,0.0,0.956522
2,0.013158,1.0,0.0,0.956522
3,0.019737,1.0,0.0,0.956522
4,0.026316,1.0,0.0,0.956522
5,0.032895,1.0,0.0,0.956522
6,0.039474,1.0,0.0,0.956522
7,0.046053,1.0,0.0,0.956522
8,0.052632,1.0,0.0,0.956522
9,0.059211,1.0,0.0,0.956522
10,0.065789,1.0,0.0,0.956522
11,0.072368,1.0,0.0,0.956522
12,0.078947,1.0,0.0,0.956522
13,0.085526,1.0,0.0,0.956522
14,0.092105,1.0,0.0,0.956522
15,0.098684,1.0,0.0,0.956522
16,0.105263,1.0,0.0,0.956522
17,0.111842,1.0,0.0,0.956522
18,0.118421,1.0,0.0,0.956522
19,0.125,1.0,0.0,0.956522
20,0.131579,1.0,0.0,0.956522
21,0.138158,1.0,0.0,0.956522
22,0.144737,1.0,0.0,0.956522
23,0.151316,1.0,0.0,0.956522
24,0.157895,1.0,0.0,0.956522
25,0.164474,1.0,0.0,0.956522
26,0.171053,1.0,0.0,0.956522
27,0.177632,1.0,0.0,0.956522
28,0.184211,1.0,0.0,0.956522
29,0.190789,1.0,0.0,0.956522
30,0.197368,1.0,0.0,0.956522
31,0.203947,1.0,0.0,0.956522
32,0.210526,1.0,0.0,0.956522
33,0.217105,1.0,0.0,0.956522
34,0.223684,1.0,0.0,0.956522
35,0.230263,1.0,0.0,0.956522
36,0.236842,1.0,0.0,0.956522
37,0.243421,1.0,0.0,0.928571
38,0.25,1.0,0.0,0.928571
39,0.256579,1.0,0.0,0.928571
40,0.263158,1.0,0.0,0.928571
41,0.269737,1.0,0.0,0.928571
42,0.276316,1.0,0.0,0.928571
43,0.282895,1.0,0.0,0.928571
44,0.289474,1.0,0.0,0.928571
45,0.296053,1.0,0.0,0.928571
46,0.302632,1.0,0.0,0.928571
47,0.309211,1.0,0.0,0.928571
48,0.315789,1.0,0.0,0.928571
49,0.322368,1.0,0.0,0.928571
50,0.328947,1.0,0.0,0.928571
51,0.335526,1.0,0.0,0.928571
52,0.342105,1.0,0.0,0.928571
53,0.348684,1.0,0.0,0.928571
54,0.355263,1.0,0.0,0.928571
55,0.361842,1.0,0.0,0.928571
56,0.368421,1.0,0.0,0.928571
57,0.375,1.0,0.0,0.928571
58,0.381579,1.0,0.0,0.928571
59,0.388158,1.0,0.0,0.928571
60,0.394737,1.0,0.0,0.928571
61,0.401316,1.0,0.0,0.928571
62,0.407895,1.0,0.0,0.928571
63,0.414474,1.0,0.0,0.928571
64,0.421053,1.0,0.0,0.884903
65,0.427632,1.0,0.0,0.870069
66,0.434211,1.0,0.0,0.870069
67,0.440789,1.0,0.0,0.870069
68,0.447368,1.0,0.0,0.870069
69,0.453947,1.0,0.0,0.870069
70,0.460526,1.0,0.0,0.870069
71,0.467105,0.985915,0.014085,0.870069
72,0.473684,0.986111,0.013889,0.870069
73,0.480263,0.972603,0.027397,0.870069
74,0.486842,0.972973,0.027027,0.870069
75,0.493421,0.973333,0.026667,0.870069
76,0.5,0.973684,0.026316,0.870069
77,0.506579,0.974026,0.025974,0.870069
78,0.513158,0.974359,0.025641,0.870069
79,0.519737,0.974684,0.025316,0.870069
80,0.526316,0.975,0.025,0.870069
81,0.532895,0.962963,0.037037,0.870069
82,0.539474,0.963415,0.036585,0.870069
83,0.546053,0.963855,0.036145,0.870069
84,0.552632,0.964286,0.035714,0.870069
85,0.559211,0.964706,0.035294,0.870069
86,0.565789,0.965116,0.034884,0.870069
87,0.572368,0.954023,0.045977,0.870069
88,0.578947,0.943182,0.056818,0.870069
89,0.585526,0.94382,0.05618,0.870069
90,0.592105,0.944444,0.055556,0.870069
91,0.598684,0.945055,0.054945,0.870069
92,0.605263,0.945652,0.054348,0.870069
93,0.611842,0.946237,0.053763,0.870069
94,0.618421,0.946809,0.053191,0.870069
95,0.625,0.947368,0.052632,0.870069
96,0.631579,0.947917,0.052083,0.870069
97,0.638158,0.938144,0.061856,0.870069
98,0.644737,0.938776,0.061224,0.870069
99,0.651316,0.939394,0.060606,0.870069
100,0.657895,0.94,0.06,0.870069
101,0.664474,0.940594,0.059406,0.870069
102,0.671053,0.941176,0.058824,0.870069
103,0.677632,0.941748,0.058252,0.870069
104,0.684211,0.942308,0.057692,0.870069
105,0.690789,0.933333,0.066667,0.870069
106,0.697368,0.933962,0.066038,0.870069
107,0.703947,0.934579,0.065421,0.870069
108,0.710526,0.935185,0.064815,0.870069
109,0.717105,0.93578,0.06422,0.870069
110,0.723684,0.936364,0.063636,0.870069
111,0.730263,0.936937,0.063063,0.870069
112,0.736842,0.9375,0.0625,0.870069
113,0.743421,0.938053,0.061947,0.870069
114,0.75,0.938596,0.061404,0.870069
115,0.756579,0.93913,0.06087,0.870069
116,0.763158,0.939655,0.060345,0.870069
117,0.769737,0.940171,0.059829,0.870069
118,0.776316,0.940678,0.059322,0.870069
119,0.782895,0.941176,0.058824,0.870069
120,0.789474,0.941667,0.058333,0.862225
121,0.796053,0.933884,0.066116,0.861535
122,0.802632,0.934426,0.065574,0.861535
123,0.809211,0.926829,0.073171,0.861535
124,0.815789,0.927419,0.072581,0.861535
125,0.822368,0.928,0.072,0.861535
126,0.828947,0.928571,0.071429,0.861535
127,0.835526,0.929134,0.070866,0.861535
128,0.842105,0.929688,0.070312,0.861535
129,0.848684,0.930233,0.069767,0.859628
130,0.855263,0.930769,0.069231,0.859628
131,0.861842,0.931298,0.068702,0.853192
132,0.868421,0.931818,0.068182,0.85074
133,0.875,0.932331,0.067669,0.85074
134,0.881579,0.925373,0.074627,0.85008
135,0.888158,0.918519,0.081481,0.85008
136,0.894737,0.911765,0.088235,0.849613
137,0.901316,0.912409,0.087591,0.848059
138,0.907895,0.913043,0.086957,0.848059
139,0.914474,0.913669,0.086331,0.848059
140,0.921053,0.914286,0.085714,0.848059
141,0.927632,0.914894,0.085106,0.839842
142,0.934211,0.915493,0.084507,0.714286
143,0.940789,0.916084,0.083916,0.714286
144,0.947368,0.916667,0.083333,0.714286
145,0.953947,0.917241,0.082759,0.714286
146,0.960526,0.917808,0.082192,0.714286
147,0.967105,0.911565,0.088435,0.714286
148,0.973684,0.912162,0.087838,0.714286
149,0.980263,0.912752,0.087248,0.714286
150,0.986842,0.913333,0.086667,0.714286
151,0.993421,0.913907,0.086093,0.714286
152,1.0,0.914474,0.085526,0.714286
